id 	 symbal	     lable	     description
75 	 /m/011yxy 	 Cries and Whispers	 1972 film by Ingmar Bergman 
76 	 /m/011z3g 	 Outkast	 hip hop duo 
77 	 /m/011zd3 	 Lucy Liu	 American actress and model 
78 	 /m/011zdm 	 peritonitis	 Human disease 
79 	 /m/011zf2 	 Yo-Yo Ma	 American cellist 
80 	 /m/011zwl 	 Douglas Haig, 1st Earl Haig	 British senior officer during the First World War 
81 	 /m/01200d 	 Wallace Beery	 American actor 
82 	 /m/01213c 	 Argyll and Bute	 unitary authority council area in Scotland 
83 	 /m/0121c1 	 West Sussex	 county in England 
84 	 /m/0121h7 	 County Laois	 county in Ireland 
85 	 /m/0121rx 	 Jackie Gleason	 comedian, actor, and musician 
86 	 /m/0121sr 	 Gujarati	 one of the official languages of India 
87 	 /m/012201 	 Nino Rota	 Italian composer 
88 	 /m/0122wc 	 Real Sociedad	 Spanish association football club 
89 	 /m/0123_x 	 Barcelona Province	 province in Catalonia, Spain 
90 	 /m/0123gq 	 Harbin	 capital of Heilongjiang province, China 
91 	 /m/0123j6 	 Bethesda Softworks	 American video game publisher 
92 	 /m/0123qq 	 Angel	 1999 American television series 
93 	 /m/0123r4 	 Band Aid	 UK supergroup 
94 	 /m/01242_ 	 Mrs. Brown	 1997 film by John Madden 
95 	 /m/01243b 	 indie rock	 genre of alternate rock music 
96 	 /m/0124jj 	 Perth and Kinross	 council area of Scotland 
97 	 /m/0124k9 	 The Larry Sanders Show	 television program 
98 	 /m/0124ld 	 1952 Winter Olympics	 6th edition of Winter Olympics, held in Oslo (Norway) in 1952 
99 	 /m/0124qd 	 Inner Hebrides	 archipelago off the west coast of mainland Scotland 
100 	 /m/0125ny 	 Lake District	 mountainous region in North West England 
101 	 /m/0125q1 	 North Yorkshire	 ceremonial county in England (use Q21241814 for administrative non-metropolitan county) 
102 	 /m/0125xq 	 The Fifth Element	 1997 science fiction film 
103 	 /m/0126hc 	 Fulham	 area of southwest London, England 
104 	 /m/0126rp 	 Eddie Izzard	 British stand-up comedian 
105 	 /m/0126t5 	 instrumental rock	 type of rock music 
106 	 /m/0126y2 	 Ja Rule	 American rapper, singer, songwriter, and actor 
107 	 /m/01271h 	 Trent Reznor	 American musician 
108 	 /m/01279v 	 County Tipperary	 county in Ireland 
109 	 /m/0127c4 	 Tyne and Wear	 county in England 
110 	 /m/0127gn 	 Vladimir Horowitz	 American classical pianist and composer 
111 	 /m/0127m7 	 Kevin Costner	 American actor, singer, musician, producer, director, and businessman 
112 	 /m/0127ps 	 Conspiracy Theory	 1997 film by Richard Donner 
113 	 /m/0127s7 	 Christina Aguilera	 singer from the United States 
114 	 /m/0127xk 	 Steve Allen	 American comedian, actor, musician and writer 
115 	 /m/012_53 	 Melissa Joan Hart	 American actress 
116 	 /m/012b30 	 Sub Pop	 American record label 
117 	 /m/012bk 	 Ariel Sharon	 prime minister of Israel and Israeli general 
118 	 /m/012c6j 	 Adolphe Menjou	 American actor 
119 	 /m/012c6x 	 Jackie Cooper	 American actor, director 
120 	 /m/012cj0 	 Steve McQueen	 American actor 
121 	 /m/012cph 	 Dashiell Hammett	 American writer 
122 	 /m/012d40 	 Jackie Chan	 Hong Kong actor and martial artist 
123 	 /m/012d9h 	 Inverness	 city in the Scottish Highlands 
124 	 /m/012dr7 	 William Powell	 actor from the United States 
125 	 /m/012dtf 	 Franchot Tone	 American stage and film actor 
126 	 /m/012f86 	 Ukrainians	 East Slavic ethnic group native to Ukraine 
127 	 /m/012fvq 	 Swarthmore College	 liberal arts college in Swarthmore, Pennsylvania 
128 	 /m/012fzm 	 Torquay	 town in Devon, England 
129 	 /m/012g92 	 Isabelle Huppert	 French actress 
130 	 /m/012gbb 	 Marlene Dietrich	 German-American actress and singer 
131 	 /m/012gk9 	 Star Trek V: The Final Frontier	 1989 American science fiction film 
132 	 /m/012gq6 	 Bob Newhart	 American stand-up comedian and actor 
133 	 /m/012gx2 	 Joe Biden	 47th Vice President of the United States 
134 	 /m/012gyf 	 National Autonomous University of Mexico	 university 
135 	 /m/012hw 	 attack	 action intended to harm the goods or the life of others 
136 	 /m/012j5h 	 Raymond Massey	 actor 
137 	 /m/012j8z 	 Walter Pidgeon	 Canadian actor 
138 	 /m/012jc 	 alcoholism	 broad term for problems with alcohol 
139 	 /m/012jfb 	 Bowling for Columbine	 2002 documentary film by Michael Moore 
140 	 /m/012ky3 	 Michel Legrand	 French composer 
141 	 /m/012kyx 	 28 Days Later	 2002 British post-apocalyptic horror film 
142 	 /m/012ljv 	 Gabriel Yared	 Lebanese composer 
143 	 /m/012lzc 	 self-help	 self-guided improvement 
144 	 /m/012lzr 	 University of New South Wales	 Australian university 
145 	 /m/012m_ 	 Austria-Hungary	 constitutional monarchic union  from 1867 to October 1918 
146 	 /m/012mrr 	 Close Encounters of the Third Kind	 1977 American science fiction film 
147 	 /m/012mzw 	 University of Notre Dame	 Catholic university in South Bend, Indiana, United States 
148 	 /m/012pd4 	 Scott Bradley	 American composer 
149 	 /m/012q4n 	 Peter Stormare	 Swedish actor 
150 	 /m/012q8y 	 Fremantle	 port city in Western Australia 
151 	 /m/012qdp 	 military officer	 member of an armed force or uniformed service who holds a position of authority 
152 	 /m/012qjw 	 vomiting	 involuntary, forceful expulsion of stomach contents through the mouth and sometimes the nose 
153 	 /m/012qxv 	 County Sligo	 county in Ireland 
154 	 /m/012rng 	 Norman Jewison	 director, producer, and actor 
155 	 /m/012rrr 	 Upper Austria	 state of Austria 
156 	 /m/012s1d 	 Spider-Man	 2002 superhero film 
157 	 /m/012s5j 	 Raquel Welch	 American actress 
158 	 /m/012t1 	 Arthur Laurents	 playwright, theatre director, screenwriter 
159 	 /m/012t_z 	 businessperson	 person involving in activities for the purpose of generating revenue 
160 	 /m/012ts 	 Auckland	 city on the North Island, New Zealand 
161 	 /m/012v1t 	 Nancy Pelosi	 American politician, first female Speaker of the House of Representatives, born 1940 
162 	 /m/012v8 	 Albanian	 Indo-European language 
163 	 /m/012v9y 	 William Holden	 American actor 
164 	 /m/012vby 	 Mervyn LeRoy	 American film director, film producer and sometime actor 
165 	 /m/012vct 	 George Stevens	 American film director 
166 	 /m/012vd6 	 Aretha Franklin	 American musician, singer, songwriter, and pianist 
167 	 /m/012vf6 	 Myrna Loy	 American film, television and stage actress 
168 	 /m/012vm6 	 The Moody Blues	 English band 
169 	 /m/012vwb 	 Clemson University	 university in South Carolina, United States 
170 	 /m/012w70 	 Yue Chinese	 primary branch of Chinese spoken in southern China 
171 	 /m/012wg 	 Alan Jay Lerner	 lyricist and librettist from the United States 
172 	 /m/012wgb 	 Ireland	 island in north-west Europe, currently politically divided into the Republic of Ireland and Northern Ireland 
173 	 /m/012wxt 	 VJ	 None 
174 	 /m/012wyq 	 Middlesex	 historic county of England 
175 	 /m/012x03 	 The Temptations	 American Motown vocal group 
176 	 /m/012x1l 	 The Pretenders	 English-American rock band 
177 	 /m/012x2b 	 Simon Pegg	 English actor 
178 	 /m/012x4t 	 Stevie Wonder	 American musician 
179 	 /m/012x7b 	 psychedelic trance	 genre of electronic music 
180 	 /m/012x8m 	 SST Records	 record label 
181 	 /m/012xdf 	 Shaquille O'Neal	 American basketball player 
182 	 /m/012xsy 	 Music of Japan	 None 
183 	 /m/012yc 	 alternative hip hop	 sub-genre of hip hop music 
184 	 /m/012ycy 	 Ian MacKaye	 Hardcore musician, record label director, promoter of Straight Edge lifestyle 
185 	 /m/012ykt 	 Michelle Yeoh	 Malaysian actress of Chinese ethnicity 
186 	 /m/012z8_ 	 Marvin Gaye	 American singer-songwriter and musician 
187 	 /m/012zng 	 Mike Watt	 musician, songwriter 
188 	 /m/01304j 	 Carlos Santana	 Mexican and American rock musician 
189 	 /m/01309x 	 James Taylor	 American singer-songwriter and guitarist 
190 	 /m/0130sy 	 Jon Anderson	 English singer 
191 	 /m/0130xz 	 general officer	 military rank 
192 	 /m/01314k 	 Kingston University	 university in Kingston upon Thames, London 
193 	 /m/0131kb 	 Donald Pleasence	 British actor 
194 	 /m/01323p 	 Duran Duran	 English New Wave band 
195 	 /m/0132_h 	 Yomiuri Giants	 Nippon Professional Baseball team in the Central League 
196 	 /m/0132k4 	 Jaco Pastorius	 Musician, producer, educator 
197 	 /m/01336l 	 Asian American	 ethnic group 
198 	 /m/01337_ 	 James Coburn	 American film and television actor 
199 	 /m/0133_p 	 garage rock	 raw form of rock and roll 
200 	 /m/0133ch 	 Chesterfield	 market town in Derbyshire, England 
201 	 /m/0133h8 	 Lower Austria	 federated state of Austria 
202 	 /m/0133jj 	 Tyrol	 federal state in western Austria 
203 	 /m/0133k0 	 electroclash	 music genre 
204 	 /m/0133sq 	 Nick Park	 British animator and filmmaker 
205 	 /m/0133x7 	 Sarah McLachlan	 Canadian musician, singer, and songwriter 
206 	 /m/013423 	 Carole King	 American singer and songwriter 
207 	 /m/0134bf 	 West Yorkshire	 county in England 
208 	 /m/0134pk 	 Aerosmith	 American rock band 
209 	 /m/0134s5 	 AC/DC	 Australian hard rock band 
210 	 /m/0134tg 	 Allman Brothers Band	 American rock/blues band 
211 	 /m/0134w7 	 Emma Watson	 English actress and model 
212 	 /m/0134wr 	 Bee Gees	 musical group founded in 1958 
213 	 /m/01352_ 	 Brazil national football team	 men's national association football team representing Brazil 
214 	 /m/0135cw 	 Bharatiya Janata Party	 major political party in India 
215 	 /m/0135dr 	 Indian National Congress	 major political party in India 
216 	 /m/0135g 	 Alameda	 city in Alameda County, California, United States 
217 	 /m/0135k2 	 Dortmund	 town in North Rhine-Westphalia, Germany 
218 	 /m/0135nb 	 Chris Waddle	 English footballer 
219 	 /m/0135p7 	 St. Joseph	 county seat of Buchanan County, Missouri, United States 
220 	 /m/0135xb 	 Joe Jackson	 English musician and singer-songwriter 
221 	 /m/01364q 	 Al Green	 American singer 
222 	 /m/0136g9 	 Richard Curtis	 screenwriter from New Zealand 
223 	 /m/0136jw 	 Danbury	 city in Connecticut 
224 	 /m/0136kr 	 Liberal Party of Canada	 oldest federal political party in Canada 
225 	 /m/0136p1 	 Donna Summer	 American singer and songwriter 
226 	 /m/0136pk 	 Jackson Browne	 American singer-songwriter 
227 	 /m/013719 	 Monash University	 public university based in Melbourne, Australia 
228 	 /m/0137g1 	 Beck	 American Musician (b.1970) 
229 	 /m/0137hn 	 Robin Gibb	 singer, songwriter and Bee Gees co-founder 
230 	 /m/0137n0 	 Willie Nelson	 American country music singer-songwriter. 
231 	 /m/013807 	 San Francisco State University	 university in San Francisco, California 
232 	 /m/01385g 	 Michael Redgrave	 British actor 
233 	 /m/01386_ 	 Serj Tankian	 American musician 
234 	 /m/0138kk 	 Dewsbury	 town in West Yorkshire, Britain 
235 	 /m/0138mv 	 Udinese Calcio	 Italian association football club 
236 	 /m/0138t4 	 Trinity Hall	 College of the University of Cambridge 
237 	 /m/01399x 	 Q2927648	 None 
238 	 /m/0139q5 	 Maggie Cheung	 Hong Kong actress 
239 	 /m/013_5c 	 New Zealand Labour Party	 major New Zealand political party 
240 	 /m/013_gg 	 Hildesheim	 German city 
241 	 /m/013_vh 	 Daniel Radcliffe	 English actor 
242 	 /m/013b2h 	 2002 Grammy Awards	 award ceremony 
243 	 /m/013b6_ 	 Ashkenazi Jews	 ethnic group 
244 	 /m/013bd1 	 David Suchet	 English actor 
245 	 /m/013bqg 	 High Wycombe	 town in Buckinghamshire, England 
246 	 /m/013c2f 	 Ealing	 suburb of London, England 
247 	 /m/013c6x 	 Miss Universe	 annual international beauty contest 
248 	 /m/013cr 	 Albert Brooks	 American actor, writer, director and comedian 
249 	 /m/013crh 	 Sioux City	 city in Iowa, United States of America 
250 	 /m/013cz2 	 Manhattan	 city in northeastern Kansas in the United States 
251 	 /m/013d7t 	 Shreveport	 parish seat of Caddo Parish, Louisiana, United States 
252 	 /m/013d_f 	 East Lansing	 city in Ingham and Clinton counties, Michigan, United States 
253 	 /m/013dy7 	 Midland	 city in Michigan, USA 
254 	 /m/013f1h 	 Traverse City	 city in Michigan 
255 	 /m/013f9v 	 St. Cloud	 city in Minnesota 
256 	 /m/013fn 	 Australian Broadcasting Corporation	 Australia's state-owned and funded national public radio and TV-broadcaster 
257 	 /m/013g3 	 Alexandria	 second largest city in Egypt 
258 	 /m/013gwb 	 Springfield	 city in Missouri, United States 
259 	 /m/013gxt 	 Independence	 county seat of Jackson County, Missouri, United States 
260 	 /m/013gz 	 Alexandria	 parish seat of Rapides Parish, Louisiana, United States 
261 	 /m/013h1c 	 Joplin	 city in southern Jasper County and northern Newton County, Missouri, USA 
262 	 /m/013h9 	 Alexandria	 city in Virginia, USA 
263 	 /m/013hvr 	 High Point	 city in North Carolina, United States of America 
264 	 /m/013hxv 	 Durham	 county seat of Durham County, North Carolina, United States 
265 	 /m/013jz2 	 Youngstown	 county seat of Mahoning County, Ohio, United States 
266 	 /m/013kcv 	 Tulsa	 county seat of Tulsa County, Oklahoma, United States 
267 	 /m/013km 	 Akira Toriyama	 Manga artist and video game character designer 
268 	 /m/013knm 	 Catherine Zeta-Jones	 Welsh-American actress and singer 
269 	 /m/013ksx 	 Bethlehem	 city in Lehigh and Northampton counties, Pennsylvania, USA 
270 	 /m/013l6l 	 Sioux Falls	 city in South Dakota, United States of America 
271 	 /m/013m43 	 Garland	 city in Texas 
272 	 /m/013m4v 	 Plano	 city in Texas 
273 	 /m/013m_x 	 Abilene	 city in Texas, USA 
274 	 /m/013mj_ 	 Odessa	 city in Texas, United States of America 
275 	 /m/013mtx 	 Longview	 city in Texas, United States 
276 	 /m/013mzh 	 Port Arthur	 city in Jefferson County, Texas, United States 
277 	 /m/013n0n 	 Corpus Christi	 city in Texas 
278 	 /m/013n2h 	 Midland	 county seat of Midland County, Texas, United States 
279 	 /m/013n60 	 Amarillo	 city in Texas, USA 
280 	 /m/013nky 	 King's College	 college of the University of Cambridge 
281 	 /m/013nty 	 Wheeling	 city in West Virginia 
282 	 /m/013nv_ 	 Appleton	 city in and county seat of Outagamie County, Wisconsin 
283 	 /m/013nws 	 Eau Claire	 city in Wisconsin 
284 	 /m/013p59 	 Merseyside	 metropolitan county in North West England 
285 	 /m/013pk3 	 Hugh Laurie	 British actor, comedian, writer, musician and director 
286 	 /m/013pp3 	 Philip Roth	 American novelist 
287 	 /m/013q07 	 Austin Powers in Goldmember	 2002 American spy comedy film 
288 	 /m/013q0p 	 Austin Powers: International Man of Mystery	 1997 film by Jay Roach 
289 	 /m/013qvn 	 Dean Martin	 American singer, actor, comedian and film producer 
290 	 /m/013rds 	 Ziggy Marley	 Jamaican musician 
291 	 /m/013rfk 	 The Cult	 British rock band 
292 	 /m/013rxq 	 Tejano music	 music genre 
293 	 /m/013sg6 	 Vincent Price	 American actor 
294 	 /m/013t2y 	 Wakefield	 city in West Yorkshire, England 
295 	 /m/013t85 	 Pontefract	 market town in West Yorkshire, England 
296 	 /m/013t9y 	 George Miller	 Australian film director 
297 	 /m/013tcv 	 Baz Luhrmann	 Australian film director, screenwriter and producer 
298 	 /m/013tjc 	 Don Rickles	 American stand-up comedian, actor 
299 	 /m/013v5j 	 La Toya Jackson	 singer from the United States 
300 	 /m/013vdl 	 Mae Whitman	 American actress 
301 	 /m/013w2r 	 Styx	 rock band 
302 	 /m/013w7j 	 Sean Combs	 American rapper, record producer, actor and entrepreneur 
303 	 /m/013w8y 	 Dave Matthews Band	 American rock band 
304 	 /m/013wf1 	 Huddersfield	 town in the Metropolitan Borough of Kirklees, in West Yorkshire, England 
305 	 /m/013x0b 	 Mushroom Records	 None 
306 	 /m/013xh7 	 R.S.C. Anderlecht	 Belgian association football club 
307 	 /m/013xrm 	 Germans	 citizens or native-born people of Germany; or people of descent to the ethnic and ethnolinguistic group associated with the German language 
308 	 /m/013y1f 	 organ	 musical keyboard instrument 
309 	 /m/013ybx 	 Zsa Zsa Gabor	 Hungarian-American socialite and actress 
310 	 /m/013yq 	 Atlanta	 capital city of state of Georgia, United States; county seat of Fulton County, Georgia 
311 	 /m/013zdg 	 Juris Doctor	 The Juris Doctor degree (J.D. or JD), also known as the Doctor of Jurisprudence degree (J.D., JD, D.Jur. or DJur), is a graduate-entry professional degree in law and one of several Doctor of Law degree 
312 	 /m/013zs9 	 Jane Horrocks	 British actress 
313 	 /m/013zyw 	 Wes Craven	 American director 
314 	 /m/01400v 	 public policy	 principled guide to action taken by the administrative executive branches of the state with regard to a class of issues 
315 	 /m/0140g4 	 Rocky V	 1990 American film 
316 	 /m/0140t7 	 Phil Collins	 English musician, songwriter and actor 
317 	 /m/0140xf 	 Christmas music	 popular music and carols associated with Christmas 
318 	 /m/014162 	 East Riding of Yorkshire	 ceremonial county of England (use Q21695028 for administrative unitary authority) 
319 	 /m/0141kz 	 John Mills	 English actor 
320 	 /m/01423b 	 Chester	 city in Cheshire, England 
321 	 /m/0142rn 	 chief information officer	 None 
322 	 /m/01438g 	 Richard Gere	 actor from the United States 
323 	 /m/0143hl 	 University of Bath	 None 
324 	 /m/0143q0 	 AFI	 American band 
325 	 /m/0143wl 	 Timothy Dalton	 British actor of stage, film and television 
326 	 /m/01445t 	 sportsperson	 person who participates regularly in a sport 
327 	 /m/014488 	 Harry Belafonte	 American singer 
328 	 /m/0144l1 	 Pete Townshend	 English rock guitarist, vocalist, songwriter and author 
329 	 /m/0144wg 	 Doncaster	 town in South Yorkshire, England 
330 	 /m/01453 	 ACF Fiorentina	 professional Italian association football club 
331 	 /m/0145m 	 afrobeat	 music genre 
332 	 /m/0145rs 	 contemporary Christian music	 genre of modern popular music 
333 	 /m/014635 	 Mark Twain	 American author and humorist 
334 	 /m/0146bp 	 type 2 diabetes mellitus	 type of diabetes mellitus with high blood sugar and insulin resistance 
335 	 /m/0146hc 	 University of Central Florida	 public university in Orlando, Florida, United States 
336 	 /m/0146mv 	 Nickelodeon	 Australian American children's cable and satellite television network owned by Viacom through Viacom 
337 	 /m/0146pg 	 John Williams	 American composer, conductor and pianist 
338 	 /m/0147dk 	 Will Smith	 American actor, film producer and rapper 
339 	 /m/0147gr 	 aerospace	 engineering effort to fly in the atmosphere of Earth (aeronautics) and surrounding space (astronautics) 
340 	 /m/0147jt 	 Michael W. Smith	 American musician and songwriter 
341 	 /m/0147sh 	 Quo Vadis	 1951 American film by Mervyn LeRoy 
342 	 /m/0147w8 	 The Edge of Night	 television series 
343 	 /m/0148nj 	 Oi!	 music genre 
344 	 /m/0148xv 	 hanging	 suspension of a person by a ligature 
345 	 /m/0149xx 	 Mstislav Rostropovich	 Russian cellist and conductor 
346 	 /m/014_lq 	 Queens of the Stone Age	 American rock band 
347 	 /m/014_x2 	 City of Angels	 1998 film by Brad Silberling 
348 	 /m/014_xj 	 Iron Maiden	 English heavy metal band 
349 	 /m/014b4h 	 Brunel University London	 public research university located in Uxbridge, London 
350 	 /m/014b6c 	 St. Charles County	 county in Missouri, United States 
351 	 /m/014bpd 	 Heavy Metal	 1981 film by Jimmy Murakami, Gerald Potterton 
352 	 /m/014ck4 	 Liaoning	 province of China 
353 	 /m/014clr 	 Shaanxi	 province of China 
354 	 /m/014cw2 	 Billy Bragg	 singer, musician 
355 	 /m/014d4v 	 University of York	 research-intensive plate glass university located in the city of York, England 
356 	 /m/014d7f 	 fluoride ion	 anion 
357 	 /m/014dd0 	 Dischord Records	 record label 
358 	 /m/014dfn 	 speculative fiction	 literary and cinematic genre that  includes science fiction, horror, fantasy and alternate history 
359 	 /m/014dgf 	 sales	 act of selling a product or service in return for money or other compensation 
360 	 /m/014dm6 	 Ken Burns	 American documentary filmmaker 
361 	 /m/014dq7 	 Truman Capote	 American author 
362 	 /m/014dsx 	 travel	 movement of people between relatively distant geographical locations 
363 	 /m/014g22 	 Mary Steenburgen	 American actress 
364 	 /m/014g91 	 Bill Evans	 American jazz pianist 
365 	 /m/014g9y 	 Julie Delpy	 French-American actress, film director, screenwriter, and singer-songwriter 
366 	 /m/014g_s 	 Dwayne Johnson	 American actor and professional wrestler 
367 	 /m/014gf8 	 Laurence Fishburne	 Award-winning American film, theatre, and television actor, film director, film producer, and playwright 
368 	 /m/014gjp 	 M*A*S*H	 American TV series about fictional 4077th MASH 
369 	 /m/014hdb 	 Zhang Yimou	 Chinese actor, film director, screenwriter and film producer 
370 	 /m/014hr0 	 London Symphony Orchestra	 oldest symphony orchestra in London 
371 	 /m/014j0w 	 Alternative Tentacles	 American record label 
372 	 /m/014j1m 	 apple	 fruit of the apple tree 
373 	 /m/014jyk 	 University of Liverpool	 British university 
374 	 /m/014kbl 	 puppeteer	 person who manipulates a puppet in real time to create the illusion of life 
375 	 /m/014kg4 	 Arthur Kennedy	 American stage and film actor 
376 	 /m/014kj2 	 Crawley	 town in West Sussex, England 
377 	 /m/014kkm 	 The Bad and the Beautiful	 1952 film by Vincente Minnelli 
378 	 /m/014knw 	 Stalag 17	 1953 film by Billy Wilder 
379 	 /m/014kq6 	 Die Another Day	 2002 spy film in the James Bond series 
380 	 /m/014ktf 	 announcer	 presenter who makes announcements in an audio medium or a physical location 
381 	 /m/014kyy 	 Steely Dan	 American rock band 
382 	 /m/014l4w 	 National Film Board of Canada	 Canada's public film and digital media producer and distributor 
383 	 /m/014l6_ 	 Pretty Woman	 1990 romantic movie 
384 	 /m/014l7h 	 news presenter	 person who presents news during a news program 
385 	 /m/014lc_ 	 Star Trek: Nemesis	 2002 American science fiction film 
386 	 /m/014m1m 	 Oaxaca	 state of Mexico 
387 	 /m/014mlp 	 Bachelor of Arts	 bachelor's degree awarded for undergraduate study in liberal arts, the sciences or both 
388 	 /m/014nq4 	 Star Trek: Insurrection	 1998 American science fiction film 
389 	 /m/014nvr 	 Alexandre Dumas	 French writer and dramatist, father of the homonym writer and dramatist 
390 	 /m/014nzp 	 Nottingham Forest F.C.	 professional association football club based in Nottingham 
391 	 /m/014pg1 	 Oingo Boingo	 American rock band 
392 	 /m/014ps4 	 Gene Wolfe	 American science fiction and fantasy writer 
393 	 /m/014q2g 	 Keith Richards	 British rock musician, member of The Rolling Stones 
394 	 /m/014tss 	 Kingdom of Great Britain	 constitutional monarchy in Western Europe between 1707–1801 
395 	 /m/014v1q 	 Burl Ives	 American actor, writer and folk music singer 
396 	 /m/014v6f 	 Cuba Gooding Jr.	 American actor 
397 	 /m/014vk4 	 Condoleezza Rice	 American Republican politician; U.S. Secretary of State; political scientist 
398 	 /m/014vm4 	 Hangzhou	 capital of Zhejiang Province, China 
